"azienda" "tipo" "cbranca" "qta" "nomeazienda"
212 "Pub" 79 36339 "AT"
212 "Pub" 81 3778 "AT"
212 "Pub" 82 4271 "AT"
212 "Pub" 98 2192975 "AT"
212 "Pub" 99 88872 "AT"
213 "Priv" 8 22940 "AL"
213 "Priv" 9 2638 "AL"
213 "Priv" 12 22 "AL"
213 "Priv" 14 2138 "AL"
213 "Priv" 19 136 "AL"
213 "Priv" 32 1772 "AL"
213 "Priv" 34 7998 "AL"
213 "Priv" 36 17688 "AL"
213 "Priv" 37 187 "AL"
213 "Priv" 38 698 "AL"
213 "Priv" 43 965 "AL"
213 "Priv" 52 410 "AL"
213 "Priv" 56 61763 "AL"
213 "Priv" 58 1052 "AL"
213 "Priv" 69 254489 "AL"
213 "Priv" 98 345256 "AL"
213 "Pub" 1 7314 "AL"
213 "Pub" 5 16 "AL"
213 "Pub" 8 78561 "AL"
213 "Pub" 9 24864 "AL"
213 "Pub" 12 3543 "AL"
213 "Pub" 19 32879 "AL"
213 "Pub" 24 1236 "AL"
213 "Pub" 26 124896 "AL"
213 "Pub" 29 76059 "AL"
213 "Pub" 30 1089 "AL"
213 "Pub" 32 28807 "AL"
213 "Pub" 33 23925 "AL"
213 "Pub" 34 60823 "AL"
213 "Pub" 35 25860 "AL"
213 "Pub" 36 35199 "AL"
213 "Pub" 37 47766 "AL"
213 "Pub" 38 31225 "AL"
213 "Pub" 39 8992 "AL"
213 "Pub" 40 26147 "AL"
213 "Pub" 43 15510 "AL"
213 "Pub" 52 32843 "AL"
213 "Pub" 56 195644 "AL"
213 "Pub" 58 10573 "AL"
213 "Pub" 61 2 "AL"
213 "Pub" 64 15107 "AL"
213 "Pub" 68 19284 "AL"
213 "Pub" 69 143396 "AL"
213 "Pub" 71 341 "AL"
213 "Pub" 79 11130 "AL"
213 "Pub" 81 10833 "AL"
213 "Pub" 82 3909 "AL"
213 "Pub" 98 4296985 "AL"
213 "Pub" 99 56797 "AL"
904 "Pub" 1 5806 "S.LUIGI"
904 "Pub" 8 17946 "S.LUIGI"
904 "Pub" 9 10266 "S.LUIGI"
904 "Pub" 12 413 "S.LUIGI"
904 "Pub" 14 27 "S.LUIGI"
904 "Pub" 18 14473 "S.LUIGI"
904 "Pub" 19 18113 "S.LUIGI"
904 "Pub" 21 1343 "S.LUIGI"
904 "Pub" 26 2952 "S.LUIGI"
904 "Pub" 29 10500 "S.LUIGI"
904 "Pub" 30 8 "S.LUIGI"
904 "Pub" 32 22920 "S.LUIGI"
904 "Pub" 34 16650 "S.LUIGI"
904 "Pub" 35 17575 "S.LUIGI"
904 "Pub" 36 12612 "S.LUIGI"
904 "Pub" 37 2030 "S.LUIGI"
904 "Pub" 38 9605 "S.LUIGI"
904 "Pub" 40 3784 "S.LUIGI"
904 "Pub" 43 11417 "S.LUIGI"
904 "Pub" 52 109 "S.LUIGI"
904 "Pub" 56 6593 "S.LUIGI"
904 "Pub" 58 10138 "S.LUIGI"
904 "Pub" 61 3862 "S.LUIGI"
904 "Pub" 64 16977 "S.LUIGI"
904 "Pub" 68 52044 "S.LUIGI"
904 "Pub" 69 39052 "S.LUIGI"
904 "Pub" 70 22581 "S.LUIGI"
904 "Pub" 71 1778 "S.LUIGI"
904 "Pub" 79 6191 "S.LUIGI"
904 "Pub" 82 1715 "S.LUIGI"
904 "Pub" 98 800885 "S.LUIGI"
904 "Pub" 99 17324 "S.LUIGI"
905 "Pub" 1 8602 "CARITA"
905 "Pub" 7 383 "CARITA"
905 "Pub" 8 37581 "CARITA"
